period,partner_country,flow,qty_kg,value_usd
2024,Norway,export,5231.291,3986.292
2024,Norway,import,3099630.0,6382758.906
2024,Oman,export,5670677.0,9986507.725
2024,Oman,import,52800.0,43819.185
2024,"Other Asia, nes",export,57404.957,69330.737
2024,"Other Asia, nes",import,33500.0,43772.625
2024,Papua New Guinea,export,2.0,5.766
2024,Peru,export,49035.0,105983.033
2024,Philippines,export,758370.63,746139.425
2024,Poland,export,680525.0,1083544.649
2024,Poland,import,215863.356,322038.866
2024,Portugal,export,3185910.0,4930064.931
2024,Portugal,import,2380098.728,4045248.947
2024,Qatar,export,1720208.0,2200908.465
2024,Qatar,import,230277350.0,243056291.495
2024,Rep. of Korea,export,2002823.0,2054531.225
2024,Rep. of Korea,import,238215180.0,351117074.973
2024,Romania,export,581500.0,562191.552
2024,Romania,import,4000.0,7871.803
2024,Russian Federation,export,1808930.0,3310918.362
2024,Russian Federation,import,8250.0,13484.77
2024,Rwanda,export,346152.0,375606.9
2024,Saudi Arabia,export,10177019.371,18470557.623
2024,Saudi Arabia,import,25579300.0,28346670.343
2024,Senegal,export,682484.631,873153.921
2024,Senegal,import,73825.0,40768.75
2024,Seychelles,export,1550.0,6730.819
2024,Sierra Leone,export,65000.0,55298.454
2024,Singapore,export,15471.0,100632.108
2024,Singapore,import,22000.0,41462.474
2024,Slovakia,export,10800.0,17633.795
2024,Slovakia,import,30.0,218.153
2024,Slovenia,export,5225.0,12857.681
2024,Slovenia,import,433.0,6270.274
2024,Somalia,export,312010.0,407416.53
2024,South Africa,export,4952385.0,5368675.556
2024,South Africa,import,438419.0,348934.101
2024,Spain,export,1211536.0,2004691.301
2024,Spain,import,20920.0,13589.787
2024,Sri Lanka,export,1830379.0,2271987.368
2024,Sri Lanka,import,371037.0,257480.278
2024,Suriname,export,4000.0,5116.216
2024,Sweden,export,13233.0,23132.308
2024,Sweden,import,2216402.0,3903619.675
2024,Switzerland,export,305.0,428.834
2024,Switzerland,import,23500.579,128876.302
2024,Thailand,export,2971789.0,3691154.752
2024,Thailand,import,115084160.0,163280803.851
2024,Togo,export,214222.0,210566.369
2024,Trinidad and Tobago,export,180.0,214.305
2024,Tunisia,export,132770.0,151299.201
2024,Türkiye,export,10067231.0,14055054.737
2024,Türkiye,import,1106110.0,1649393.076
2024,USA,export,806721.317,1442125.829
2024,USA,import,353453159.0,417463793.663
2024,Uganda,export,719181.0,733894.385
2024,Ukraine,export,59400.0,96052.167
2024,United Arab Emirates,export,28882057.0,35977388.033
2024,United Arab Emirates,import,148500.0,178369.559
2024,United Kingdom,export,214286.087,416635.033
2024,United Kingdom,import,98.482,114.736
2024,United Rep. of Tanzania,export,8910561.612,10182315.659
2024,Uruguay,export,165347.0,257848.408
2024,Uzbekistan,export,258735.0,395857.424
2024,Venezuela,export,48000.0,118192.562
2024,Viet Nam,export,78063224.0,73360671.739
2024,Viet Nam,import,862157.0,2338649.72
2024,Zambia,export,733608.0,731420.467
2024,Zambia,import,100.0,80.201
2025,Afghanistan,export,300.0,486.186
2025,Algeria,export,10719318.0,16459965.731
2025,Angola,export,514258.0,557853.834
2025,"Areas, nes",export,5710022.0,6210252.337
2025,Armenia,export,312000.0,471444.489
2025,Australia,export,157731.0,377012.143
2025,Australia,import,1620646.0,1077620.934
2025,Austria,export,5975.643,12688.395
2025,Austria,import,17675.0,53680.71
2025,Bahamas,import,210922.0,121232.375
2025,Bahrain,export,16149.0,20290.802
2025,Bahrain,import,1103859.0,740281.619
2025,Bangladesh,export,17286693.0,17997891.13
2025,Bangladesh,import,3006329.0,1999194.798
2025,Belarus,export,490.0,30152.295
2025,Belgium,export,665827.0,1228933.381
2025,Belgium,import,54200.0,45780.567
2025,Benin,export,186900.0,182844.856
2025,Bhutan,export,2508636.0,2693389.896
2025,Brazil,export,338940.0,603348.568
2025,Brazil,import,457755.0,873970.729
2025,Bulgaria,import,1625.0,9514.127
2025,Burundi,export,42000.0,38510.867
2025,Cameroon,export,856679.0,1117603.659
2025,Canada,export,521.701,29741.889
2025,Canada,import,3905350.0,4831680.642
2025,Chile,export,320340.0,544640.972
2025,China,export,65858342.0,56843351.494
2025,China,import,110.0,903.178
2025,"China, Hong Kong SAR",import,6114.0,98714.957
2025,Colombia,export,62946.0,133853.346
2025,Comoros,export,41000.0,56007.011
2025,Congo,export,104.0,182.127
2025,Costa Rica,import,36686.0,19844.502
2025,Croatia,export,1039700.0,1170108.421
2025,Curaçao,import,49500.0,61945.67
2025,Cyprus,export,53300.0,139255.506
2025,Czechia,export,8450.0,10602.16
2025,Czechia,import,10325.0,88274.788
2025,Côte d'Ivoire,export,365320.0,430812.292
2025,Dem. Rep. of the Congo,export,701700.0,1003589.379
2025,Denmark,export,6.277,6.012
2025,Denmark,import,777.0,2355.283
2025,Djibouti,export,2220575.0,2222915.028
2025,Djibouti,import,45480.0,24316.825
2025,Dominican Rep.,export,50.0,48.728
2025,Dominican Rep.,import,142530.0,79050.149
2025,Ecuador,export,62730.0,301003.477
2025,Ecuador,import,332206.0,135106.929
2025,Egypt,export,15794173.0,26351727.645
2025,Equatorial Guinea,export,557005.0,873843.147
2025,Equatorial Guinea,import,71330.0,40248.641
2025,Ethiopia,export,766760.0,835687.012
2025,Fiji,export,25202.0,41654.993
2025,Finland,export,2120.0,4718.893
2025,Finland,import,3133950.0,6937836.246
2025,France,export,5733.0,59372.33
2025,France,import,6844501.0,15441992.448
2025,Gabon,export,39.0,370.216
2025,Gambia,export,536995.0,640569.839
2025,Georgia,export,143002.0,215395.606
2025,Germany,export,313229.0,759381.63
2025,Germany,import,45607492.0,76766943.497
2025,Ghana,export,3334833.0,3486696.867
2025,Greece,export,1000800.0,1508744.752
2025,Greece,import,45390.0,22086.029
2025,Guatemala,export,300.0,935.516
2025,Guatemala,import,100453.0,51881.478
2025,Guinea,export,482750.0,619010.339
2025,Guinea,import,43305.0,17350.651
